Week,Region,State,Abbreviation,Disease,Total,Month
196626,Southeast,GEORGIA,GA,MEASLES,0,June
196627,Southeast,GEORGIA,GA,MEASLES,0,July
196628,Southeast,GEORGIA,GA,MEASLES,1,July
196629,Southeast,GEORGIA,GA,MEASLES,0,July
196630,Southeast,GEORGIA,GA,MEASLES,2,July
196631,Southeast,GEORGIA,GA,MEASLES,0,July
196632,Southeast,GEORGIA,GA,MEASLES,0,August
196633,Southeast,GEORGIA,GA,MEASLES,0,August
196634,Southeast,GEORGIA,GA,MEASLES,1,August
196635,Southeast,GEORGIA,GA,MEASLES,0,August
196636,Southeast,GEORGIA,GA,MEASLES,0,September
196637,Southeast,GEORGIA,GA,MEASLES,0,September
196638,Southeast,GEORGIA,GA,MEASLES,0,September
196639,Southeast,GEORGIA,GA,MEASLES,0,September
196640,Southeast,GEORGIA,GA,MEASLES,0,October
196641,Southeast,GEORGIA,GA,MEASLES,0,October
196642,Southeast,GEORGIA,GA,MEASLES,0,October
196643,Southeast,GEORGIA,GA,MEASLES,2,October
196644,Southeast,GEORGIA,GA,MEASLES,0,October
196645,Southeast,GEORGIA,GA,MEASLES,0,November
196646,Southeast,GEORGIA,GA,MEASLES,2,November
196647,Southeast,GEORGIA,GA,MEASLES,2,November
196648,Southeast,GEORGIA,GA,MEASLES,1,November
196650,Southeast,GEORGIA,GA,MEASLES,2,December
196651,Southeast,GEORGIA,GA,MEASLES,1,December
196652,Southeast,GEORGIA,GA,MEASLES,0,December
196601,Southeast,GEORGIA,GA,RUBELLA,10,January
196602,Southeast,GEORGIA,GA,RUBELLA,10,January
196603,Southeast,GEORGIA,GA,RUBELLA,4,January
196604,Southeast,GEORGIA,GA,RUBELLA,4,January
196605,Southeast,GEORGIA,GA,RUBELLA,6,January
196606,Southeast,GEORGIA,GA,RUBELLA,0,February
196607,Southeast,GEORGIA,GA,RUBELLA,0,February
196608,Southeast,GEORGIA,GA,RUBELLA,57,February
196609,Southeast,GEORGIA,GA,RUBELLA,2,February
196610,Southeast,GEORGIA,GA,RUBELLA,32,March
196611,Southeast,GEORGIA,GA,RUBELLA,1,March
196612,Southeast,GEORGIA,GA,RUBELLA,24,March
196613,Southeast,GEORGIA,GA,RUBELLA,2,March
196614,Southeast,GEORGIA,GA,RUBELLA,15,April
196615,Southeast,GEORGIA,GA,RUBELLA,10,April
196616,Southeast,GEORGIA,GA,RUBELLA,0,April
196617,Southeast,GEORGIA,GA,RUBELLA,8,April
196618,Southeast,GEORGIA,GA,RUBELLA,7,May
196619,Southeast,GEORGIA,GA,RUBELLA,21,May
196620,Southeast,GEORGIA,GA,RUBELLA,5,May
196621,Southeast,GEORGIA,GA,RUBELLA,0,May
196622,Southeast,GEORGIA,GA,RUBELLA,5,May
196623,Southeast,GEORGIA,GA,RUBELLA,2,June
196624,Southeast,GEORGIA,GA,RUBELLA,3,June
196625,Southeast,GEORGIA,GA,RUBELLA,2,June
196626,Southeast,GEORGIA,GA,RUBELLA,0,June
196627,Southeast,GEORGIA,GA,RUBELLA,0,July
196628,Southeast,GEORGIA,GA,RUBELLA,1,July
196629,Southeast,GEORGIA,GA,RUBELLA,0,July
196630,Southeast,GEORGIA,GA,RUBELLA,2,July
196631,Southeast,GEORGIA,GA,RUBELLA,0,July
196632,Southeast,GEORGIA,GA,RUBELLA,0,August
196633,Southeast,GEORGIA,GA,RUBELLA,0,August
196634,Southeast,GEORGIA,GA,RUBELLA,1,August
196635,Southeast,GEORGIA,GA,RUBELLA,0,August
196636,Southeast,GEORGIA,GA,RUBELLA,0,September
196637,Southeast,GEORGIA,GA,RUBELLA,0,September
196638,Southeast,GEORGIA,GA,RUBELLA,0,September
196639,Southeast,GEORGIA,GA,RUBELLA,0,September
196640,Southeast,GEORGIA,GA,RUBELLA,0,October
196641,Southeast,GEORGIA,GA,RUBELLA,0,October
196642,Southeast,GEORGIA,GA,RUBELLA,0,October
196643,Southeast,GEORGIA,GA,RUBELLA,2,October
196644,Southeast,GEORGIA,GA,RUBELLA,0,October
196645,Southeast,GEORGIA,GA,RUBELLA,0,November
196646,Southeast,GEORGIA,GA,RUBELLA,2,November
196647,Southeast,GEORGIA,GA,RUBELLA,2,November
196648,Southeast,GEORGIA,GA,RUBELLA,1,November
196650,Southeast,GEORGIA,GA,RUBELLA,2,December
196651,Southeast,GEORGIA,GA,RUBELLA,1,December
196652,Southeast,GEORGIA,GA,RUBELLA,0,December
196601,West,HAWAII,HI,HEPATITIS A,0,January
196624,West,HAWAII,HI,MEASLES,1,June
196625,West,HAWAII,HI,MEASLES,4,June
196626,West,HAWAII,HI,MEASLES,3,June
196627,West,HAWAII,HI,MEASLES,4,July
196628,West,HAWAII,HI,MEASLES,8,July
196629,West,HAWAII,HI,MEASLES,0,July
196630,West,HAWAII,HI,MEASLES,2,July
196631,West,HAWAII,HI,MEASLES,2,July
196632,West,HAWAII,HI,MEASLES,0,August
196633,West,HAWAII,HI,MEASLES,5,August
196634,West,HAWAII,HI,MEASLES,2,August
196635,West,HAWAII,HI,MEASLES,1,August
196636,West,HAWAII,HI,MEASLES,3,September
196637,West,HAWAII,HI,MEASLES,1,September
196638,West,HAWAII,HI,MEASLES,1,September
196639,West,HAWAII,HI,MEASLES,2,September
196640,West,HAWAII,HI,MEASLES,2,October
196641,West,HAWAII,HI,MEASLES,0,October
196642,West,HAWAII,HI,MEASLES,2,October
196643,West,HAWAII,HI,MEASLES,2,October
196644,West,HAWAII,HI,MEASLES,3,October
196645,West,HAWAII,HI,MEASLES,0,November
196646,West,HAWAII,HI,MEASLES,5,November
196647,West,HAWAII,HI,MEASLES,4,November
196648,West,HAWAII,HI,MEASLES,4,November
196651,West,HAWAII,HI,MEASLES,0,December
196652,West,HAWAII,HI,MEASLES,1,December
196601,West,HAWAII,HI,RUBELLA,1,January
196602,West,HAWAII,HI,RUBELLA,4,January
196603,West,HAWAII,HI,RUBELLA,5,January
196604,West,HAWAII,HI,RUBELLA,1,January
196605,West,HAWAII,HI,RUBELLA,2,January
196606,West,HAWAII,HI,RUBELLA,9,February
196607,West,HAWAII,HI,RUBELLA,2,February
196609,West,HAWAII,HI,RUBELLA,6,February
196610,West,HAWAII,HI,RUBELLA,2,March
196611,West,HAWAII,HI,RUBELLA,4,March
196612,West,HAWAII,HI,RUBELLA,5,March
196613,West,HAWAII,HI,RUBELLA,8,March
196615,West,HAWAII,HI,RUBELLA,3,April
196616,West,HAWAII,HI,RUBELLA,6,April
196617,West,HAWAII,HI,RUBELLA,7,April
196618,West,HAWAII,HI,RUBELLA,5,May
196619,West,HAWAII,HI,RUBELLA,2,May
196620,West,HAWAII,HI,RUBELLA,7,May
196622,West,HAWAII,HI,RUBELLA,2,May
196624,West,HAWAII,HI,RUBELLA,6,June
196625,West,HAWAII,HI,RUBELLA,7,June
196627,West,HAWAII,HI,RUBELLA,6,July
196628,West,HAWAII,HI,RUBELLA,2,July
196629,West,HAWAII,HI,RUBELLA,2,July
196630,West,HAWAII,HI,RUBELLA,3,July
196632,West,HAWAII,HI,RUBELLA,2,August
196633,West,HAWAII,HI,RUBELLA,1,August
196634,West,HAWAII,HI,RUBELLA,4,August
196636,West,HAWAII,HI,RUBELLA,2,September
196637,West,HAWAII,HI,RUBELLA,1,September
196639,West,HAWAII,HI,RUBELLA,2,September
196640,West,HAWAII,HI,RUBELLA,5,October
196641,West,HAWAII,HI,RUBELLA,1,October
196643,West,HAWAII,HI,RUBELLA,1,October
196644,West,HAWAII,HI,RUBELLA,1,October
196645,West,HAWAII,HI,RUBELLA,3,November
196646,West,HAWAII,HI,RUBELLA,1,November
196648,West,HAWAII,HI,RUBELLA,1,November
196650,West,HAWAII,HI,RUBELLA,1,December
196652,West,HAWAII,HI,RUBELLA,3,December
196601,West,IDAHO,ID,HEPATITIS A,2,January
196602,West,IDAHO,ID,HEPATITIS A,2,January
196604,West,IDAHO,ID,HEPATITIS A,1,January
196605,West,IDAHO,ID,HEPATITIS A,5,January
196607,West,IDAHO,ID,HEPATITIS A,5,February
196608,West,IDAHO,ID,HEPATITIS A,3,February
196609,West,IDAHO,ID,HEPATITIS A,1,February
196610,West,IDAHO,ID,HEPATITIS A,4,March
196613,West,IDAHO,ID,HEPATITIS A,3,March
196614,West,IDAHO,ID,HEPATITIS A,1,April
196615,West,IDAHO,ID,HEPATITIS A,3,April
196616,West,IDAHO,ID,HEPATITIS A,2,April
196617,West,IDAHO,ID,HEPATITIS A,1,April
196618,West,IDAHO,ID,HEPATITIS A,4,May
196619,West,IDAHO,ID,HEPATITIS A,3,May
196621,West,IDAHO,ID,HEPATITIS A,1,May
196624,West,IDAHO,ID,HEPATITIS A,14,June
196625,West,IDAHO,ID,HEPATITIS A,2,June
196626,West,IDAHO,ID,HEPATITIS A,4,June
196627,West,IDAHO,ID,HEPATITIS A,2,July
196628,West,IDAHO,ID,HEPATITIS A,2,July
196629,West,IDAHO,ID,HEPATITIS A,2,July
196630,West,IDAHO,ID,HEPATITIS A,6,July
196633,West,IDAHO,ID,HEPATITIS A,1,August
196634,West,IDAHO,ID,HEPATITIS A,1,August
196635,West,IDAHO,ID,HEPATITIS A,1,August
196636,West,IDAHO,ID,HEPATITIS A,2,September
196637,West,IDAHO,ID,HEPATITIS A,1,September
196638,West,IDAHO,ID,HEPATITIS A,4,September
196639,West,IDAHO,ID,HEPATITIS A,10,September
196640,West,IDAHO,ID,HEPATITIS A,3,October
196641,West,IDAHO,ID,HEPATITIS A,1,October
196642,West,IDAHO,ID,HEPATITIS A,3,October
196643,West,IDAHO,ID,HEPATITIS A,7,October
196644,West,IDAHO,ID,HEPATITIS A,8,October
196645,West,IDAHO,ID,HEPATITIS A,10,November
196646,West,IDAHO,ID,HEPATITIS A,3,November
196647,West,IDAHO,ID,HEPATITIS A,10,November
196648,West,IDAHO,ID,HEPATITIS A,24,November
196649,West,IDAHO,ID,HEPATITIS A,2,December
196650,West,IDAHO,ID,HEPATITIS A,8,December
196651,West,IDAHO,ID,HEPATITIS A,5,December
196652,West,IDAHO,ID,HEPATITIS A,3,December
196601,West,IDAHO,ID,MEASLES,8,January
196602,West,IDAHO,ID,MEASLES,99,January
196603,West,IDAHO,ID,MEASLES,35,January
196604,West,IDAHO,ID,MEASLES,58,January
196605,West,IDAHO,ID,MEASLES,24,January
196606,West,IDAHO,ID,MEASLES,0,February
196607,West,IDAHO,ID,MEASLES,54,February
196608,West,IDAHO,ID,MEASLES,28,February
196609,West,IDAHO,ID,MEASLES,38,February
196610,West,IDAHO,ID,MEASLES,88,March
196611,West,IDAHO,ID,MEASLES,53,March
196612,West,IDAHO,ID,MEASLES,25,March
196613,West,IDAHO,ID,MEASLES,27,March
196614,West,IDAHO,ID,MEASLES,50,April
196615,West,IDAHO,ID,MEASLES,27,April
196616,West,IDAHO,ID,MEASLES,41,April
196617,West,IDAHO,ID,MEASLES,57,April
196618,West,IDAHO,ID,MEASLES,35,May
196619,West,IDAHO,ID,MEASLES,97,May
196620,West,IDAHO,ID,MEASLES,53,May
196621,West,IDAHO,ID,MEASLES,194,May
196622,West,IDAHO,ID,MEASLES,37,May
196623,West,IDAHO,ID,MEASLES,104,June
196624,West,IDAHO,ID,MEASLES,47,June
196625,West,IDAHO,ID,MEASLES,41,June
196626,West,IDAHO,ID,MEASLES,50,June
196627,West,IDAHO,ID,MEASLES,31,July
196628,West,IDAHO,ID,MEASLES,53,July
196629,West,IDAHO,ID,MEASLES,42,July
196630,West,IDAHO,ID,MEASLES,18,July
196631,West,IDAHO,ID,MEASLES,6,July
196632,West,IDAHO,ID,MEASLES,11,August
196633,West,IDAHO,ID,MEASLES,11,August
196634,West,IDAHO,ID,MEASLES,5,August
196635,West,IDAHO,ID,MEASLES,5,August
196636,West,IDAHO,ID,MEASLES,10,September
196637,West,IDAHO,ID,MEASLES,1,September
196638,West,IDAHO,ID,MEASLES,7,September
196639,West,IDAHO,ID,MEASLES,15,September
196640,West,IDAHO,ID,MEASLES,2,October
196641,West,IDAHO,ID,MEASLES,38,October
196642,West,IDAHO,ID,MEASLES,4,October
196643,West,IDAHO,ID,MEASLES,13,October
196644,West,IDAHO,ID,MEASLES,3,October
196645,West,IDAHO,ID,MEASLES,12,November
196646,West,IDAHO,ID,MEASLES,7,November
196647,West,IDAHO,ID,MEASLES,7,November
196648,West,IDAHO,ID,MEASLES,5,November
196650,West,IDAHO,ID,MEASLES,13,December
196651,West,IDAHO,ID,MEASLES,8,December
196652,West,IDAHO,ID,MEASLES,4,December
196601,West,IDAHO,ID,RUBELLA,1,January
196602,West,IDAHO,ID,RUBELLA,3,January
196604,West,IDAHO,ID,RUBELLA,1,January
196606,West,IDAHO,ID,RUBELLA,56,February
196607,West,IDAHO,ID,RUBELLA,8,February
196608,West,IDAHO,ID,RUBELLA,8,February
196610,West,IDAHO,ID,RUBELLA,12,March
196611,West,IDAHO,ID,RUBELLA,5,March
196612,West,IDAHO,ID,RUBELLA,11,March
196613,West,IDAHO,ID,RUBELLA,16,March
196615,West,IDAHO,ID,RUBELLA,2,April
196616,West,IDAHO,ID,RUBELLA,3,April
196619,West,IDAHO,ID,RUBELLA,2,May
196620,West,IDAHO,ID,RUBELLA,1,May
196621,West,IDAHO,ID,RUBELLA,6,May
196622,West,IDAHO,ID,RUBELLA,1,May
196624,West,IDAHO,ID,RUBELLA,3,June
196628,West,IDAHO,ID,RUBELLA,3,July
196631,West,IDAHO,ID,RUBELLA,1,July
196633,West,IDAHO,ID,RUBELLA,1,August
196634,West,IDAHO,ID,RUBELLA,1,August
196637,West,IDAHO,ID,RUBELLA,1,September
196639,West,IDAHO,ID,RUBELLA,1,September
196642,West,IDAHO,ID,RUBELLA,2,October
196644,West,IDAHO,ID,RUBELLA,2,October
196647,West,IDAHO,ID,RUBELLA,7,November
196601,Midwest,ILLINOIS,IL,HEPATITIS A,6,January
196602,Midwest,ILLINOIS,IL,HEPATITIS A,28,January
196603,Midwest,ILLINOIS,IL,HEPATITIS A,24,January
196604,Midwest,ILLINOIS,IL,HEPATITIS A,33,January
196605,Midwest,ILLINOIS,IL,HEPATITIS A,30,January
196606,Midwest,ILLINOIS,IL,HEPATITIS A,24,February
196607,Midwest,ILLINOIS,IL,HEPATITIS A,18,February
196608,Midwest,ILLINOIS,IL,HEPATITIS A,17,February
196609,Midwest,ILLINOIS,IL,HEPATITIS A,47,February
196610,Midwest,ILLINOIS,IL,HEPATITIS A,22,March
196611,Midwest,ILLINOIS,IL,HEPATITIS A,17,March
196612,Midwest,ILLINOIS,IL,HEPATITIS A,41,March
196613,Midwest,ILLINOIS,IL,HEPATITIS A,14,March
196614,Midwest,ILLINOIS,IL,HEPATITIS A,26,April
196615,Midwest,ILLINOIS,IL,HEPATITIS A,16,April
196616,Midwest,ILLINOIS,IL,HEPATITIS A,4,April
196617,Midwest,ILLINOIS,IL,HEPATITIS A,62,April
196618,Midwest,ILLINOIS,IL,HEPATITIS A,26,May
196619,Midwest,ILLINOIS,IL,HEPATITIS A,17,May
196620,Midwest,ILLINOIS,IL,HEPATITIS A,7,May
196621,Midwest,ILLINOIS,IL,HEPATITIS A,15,May
196622,Midwest,ILLINOIS,IL,HEPATITIS A,13,May
196623,Midwest,ILLINOIS,IL,HEPATITIS A,33,June
196624,Midwest,ILLINOIS,IL,HEPATITIS A,38,June
196625,Midwest,ILLINOIS,IL,HEPATITIS A,12,June
196626,Midwest,ILLINOIS,IL,HEPATITIS A,18,June
196627,Midwest,ILLINOIS,IL,HEPATITIS A,5,July
196628,Midwest,ILLINOIS,IL,HEPATITIS A,9,July
196629,Midwest,ILLINOIS,IL,HEPATITIS A,11,July
196630,Midwest,ILLINOIS,IL,HEPATITIS A,6,July
196631,Midwest,ILLINOIS,IL,HEPATITIS A,7,July
196632,Midwest,ILLINOIS,IL,HEPATITIS A,7,August
196633,Midwest,ILLINOIS,IL,HEPATITIS A,50,August
196634,Midwest,ILLINOIS,IL,HEPATITIS A,21,August
196635,Midwest,ILLINOIS,IL,HEPATITIS A,16,August
196636,Midwest,ILLINOIS,IL,HEPATITIS A,16,September
196637,Midwest,ILLINOIS,IL,HEPATITIS A,21,September
196638,Midwest,ILLINOIS,IL,HEPATITIS A,19,September
196639,Midwest,ILLINOIS,IL,HEPATITIS A,26,September
196640,Midwest,ILLINOIS,IL,HEPATITIS A,33,October
196641,Midwest,ILLINOIS,IL,HEPATITIS A,19,October
196642,Midwest,ILLINOIS,IL,HEPATITIS A,22,October
196643,Midwest,ILLINOIS,IL,HEPATITIS A,28,October
196644,Midwest,ILLINOIS,IL,HEPATITIS A,14,October
196645,Midwest,ILLINOIS,IL,HEPATITIS A,21,November
196646,Midwest,ILLINOIS,IL,HEPATITIS A,32,November
196647,Midwest,ILLINOIS,IL,HEPATITIS A,9,November
196648,Midwest,ILLINOIS,IL,HEPATITIS A,25,November
196649,Midwest,ILLINOIS,IL,HEPATITIS A,24,December
196650,Midwest,ILLINOIS,IL,HEPATITIS A,24,December
196651,Midwest,ILLINOIS,IL,HEPATITIS A,26,December
196652,Midwest,ILLINOIS,IL,HEPATITIS A,21,December
196601,Midwest,ILLINOIS,IL,MEASLES,125,January
196602,Midwest,ILLINOIS,IL,MEASLES,853,January
196603,Midwest,ILLINOIS,IL,MEASLES,281,January
196604,Midwest,ILLINOIS,IL,MEASLES,507,January
196605,Midwest,ILLINOIS,IL,MEASLES,385,January
196606,Midwest,ILLINOIS,IL,MEASLES,466,February
196607,Midwest,ILLINOIS,IL,MEASLES,1240,February
196608,Midwest,ILLINOIS,IL,MEASLES,747,February
196609,Midwest,ILLINOIS,IL,MEASLES,417,February
196610,Midwest,ILLINOIS,IL,MEASLES,786,March
196611,Midwest,ILLINOIS,IL,MEASLES,979,March
196612,Midwest,ILLINOIS,IL,MEASLES,496,March
196613,Midwest,ILLINOIS,IL,MEASLES,368,March
196614,Midwest,ILLINOIS,IL,MEASLES,425,April
196615,Midwest,ILLINOIS,IL,MEASLES,496,April
196616,Midwest,ILLINOIS,IL,MEASLES,233,April
196617,Midwest,ILLINOIS,IL,MEASLES,345,April
196618,Midwest,ILLINOIS,IL,MEASLES,313,May
196619,Midwest,ILLINOIS,IL,MEASLES,394,May
196620,Midwest,ILLINOIS,IL,MEASLES,381,May
196621,Midwest,ILLINOIS,IL,MEASLES,178,May
196622,Midwest,ILLINOIS,IL,MEASLES,195,May
196623,Midwest,ILLINOIS,IL,MEASLES,219,June
196624,Midwest,ILLINOIS,IL,MEASLES,124,June
196625,Midwest,ILLINOIS,IL,MEASLES,50,June
196626,Midwest,ILLINOIS,IL,MEASLES,53,June
196627,Midwest,ILLINOIS,IL,MEASLES,39,July
196628,Midwest,ILLINOIS,IL,MEASLES,94,July
196629,Midwest,ILLINOIS,IL,MEASLES,23,July
196630,Midwest,ILLINOIS,IL,MEASLES,18,July
196631,Midwest,ILLINOIS,IL,MEASLES,14,July
196632,Midwest,ILLINOIS,IL,MEASLES,13,August
196633,Midwest,ILLINOIS,IL,MEASLES,60,August
196634,Midwest,ILLINOIS,IL,MEASLES,9,August
196635,Midwest,ILLINOIS,IL,MEASLES,6,August
196636,Midwest,ILLINOIS,IL,MEASLES,6,September
196637,Midwest,ILLINOIS,IL,MEASLES,20,September
196638,Midwest,ILLINOIS,IL,MEASLES,5,September
196639,Midwest,ILLINOIS,IL,MEASLES,2,September
196640,Midwest,ILLINOIS,IL,MEASLES,11,October
196641,Midwest,ILLINOIS,IL,MEASLES,8,October
196642,Midwest,ILLINOIS,IL,MEASLES,27,October
196643,Midwest,ILLINOIS,IL,MEASLES,11,October
196644,Midwest,ILLINOIS,IL,MEASLES,7,October
196645,Midwest,ILLINOIS,IL,MEASLES,18,November
196646,Midwest,ILLINOIS,IL,MEASLES,10,November
196647,Midwest,ILLINOIS,IL,MEASLES,16,November
196648,Midwest,ILLINOIS,IL,MEASLES,13,November
196650,Midwest,ILLINOIS,IL,MEASLES,15,December
196651,Midwest,ILLINOIS,IL,MEASLES,3,December
196652,Midwest,ILLINOIS,IL,MEASLES,17,December
196601,Midwest,ILLINOIS,IL,RUBELLA,17,January
196602,Midwest,ILLINOIS,IL,RUBELLA,81,January
196603,Midwest,ILLINOIS,IL,RUBELLA,46,January
196604,Midwest,ILLINOIS,IL,RUBELLA,39,January
196605,Midwest,ILLINOIS,IL,RUBELLA,39,January
196606,Midwest,ILLINOIS,IL,RUBELLA,24,February
196607,Midwest,ILLINOIS,IL,RUBELLA,104,February
196608,Midwest,ILLINOIS,IL,RUBELLA,87,February
196609,Midwest,ILLINOIS,IL,RUBELLA,81,February
196610,Midwest,ILLINOIS,IL,RUBELLA,141,March
196611,Midwest,ILLINOIS,IL,RUBELLA,183,March
196612,Midwest,ILLINOIS,IL,RUBELLA,107,March
196613,Midwest,ILLINOIS,IL,RUBELLA,91,March
196614,Midwest,ILLINOIS,IL,RUBELLA,110,April
196615,Midwest,ILLINOIS,IL,RUBELLA,96,April
196616,Midwest,ILLINOIS,IL,RUBELLA,79,April
196617,Midwest,ILLINOIS,IL,RUBELLA,82,April
196618,Midwest,ILLINOIS,IL,RUBELLA,77,May
196619,Midwest,ILLINOIS,IL,RUBELLA,197,May
196620,Midwest,ILLINOIS,IL,RUBELLA,135,May
196621,Midwest,ILLINOIS,IL,RUBELLA,102,May
196622,Midwest,ILLINOIS,IL,RUBELLA,156,May
196623,Midwest,ILLINOIS,IL,RUBELLA,106,June
196624,Midwest,ILLINOIS,IL,RUBELLA,253,June
196625,Midwest,ILLINOIS,IL,RUBELLA,21,June
196626,Midwest,ILLINOIS,IL,RUBELLA,24,June
196627,Midwest,ILLINOIS,IL,RUBELLA,54,July
196628,Midwest,ILLINOIS,IL,RUBELLA,22,July
196629,Midwest,ILLINOIS,IL,RUBELLA,8,July
196630,Midwest,ILLINOIS,IL,RUBELLA,15,July
196631,Midwest,ILLINOIS,IL,RUBELLA,10,July
196632,Midwest,ILLINOIS,IL,RUBELLA,8,August
196633,Midwest,ILLINOIS,IL,RUBELLA,5,August
196634,Midwest,ILLINOIS,IL,RUBELLA,2,August
196635,Midwest,ILLINOIS,IL,RUBELLA,2,August
196636,Midwest,ILLINOIS,IL,RUBELLA,10,September
196637,Midwest,ILLINOIS,IL,RUBELLA,5,September
196638,Midwest,ILLINOIS,IL,RUBELLA,18,September
196639,Midwest,ILLINOIS,IL,RUBELLA,12,September
196640,Midwest,ILLINOIS,IL,RUBELLA,21,October
196641,Midwest,ILLINOIS,IL,RUBELLA,9,October
196642,Midwest,ILLINOIS,IL,RUBELLA,19,October
196643,Midwest,ILLINOIS,IL,RUBELLA,7,October
196644,Midwest,ILLINOIS,IL,RUBELLA,4,October
196645,Midwest,ILLINOIS,IL,RUBELLA,14,November
196646,Midwest,ILLINOIS,IL,RUBELLA,4,November
196647,Midwest,ILLINOIS,IL,RUBELLA,10,November
196648,Midwest,ILLINOIS,IL,RUBELLA,15,November
196650,Midwest,ILLINOIS,IL,RUBELLA,9,December
196651,Midwest,ILLINOIS,IL,RUBELLA,18,December
196652,Midwest,ILLINOIS,IL,RUBELLA,3,December
196601,Midwest,INDIANA,IN,HEPATITIS A,2,January
196602,Midwest,INDIANA,IN,HEPATITIS A,8,January
196603,Midwest,INDIANA,IN,HEPATITIS A,10,January
196604,Midwest,INDIANA,IN,HEPATITIS A,19,January
196605,Midwest,INDIANA,IN,HEPATITIS A,15,January
196606,Midwest,INDIANA,IN,HEPATITIS A,14,February
196607,Midwest,INDIANA,IN,HEPATITIS A,10,February
196608,Midwest,INDIANA,IN,HEPATITIS A,10,February
196609,Midwest,INDIANA,IN,HEPATITIS A,7,February
196610,Midwest,INDIANA,IN,HEPATITIS A,12,March
196611,Midwest,INDIANA,IN,HEPATITIS A,9,March
196612,Midwest,INDIANA,IN,HEPATITIS A,9,March
196613,Midwest,INDIANA,IN,HEPATITIS A,19,March
196614,Midwest,INDIANA,IN,HEPATITIS A,8,April
196615,Midwest,INDIANA,IN,HEPATITIS A,10,April
196616,Midwest,INDIANA,IN,HEPATITIS A,11,April
196617,Midwest,INDIANA,IN,HEPATITIS A,5,April
196618,Midwest,INDIANA,IN,HEPATITIS A,2,May
196619,Midwest,INDIANA,IN,HEPATITIS A,5,May
196620,Midwest,INDIANA,IN,HEPATITIS A,11,May
196621,Midwest,INDIANA,IN,HEPATITIS A,12,May
196622,Midwest,INDIANA,IN,HEPATITIS A,13,May
196623,Midwest,INDIANA,IN,HEPATITIS A,5,June
196624,Midwest,INDIANA,IN,HEPATITIS A,11,June
196625,Midwest,INDIANA,IN,HEPATITIS A,8,June
196626,Midwest,INDIANA,IN,HEPATITIS A,4,June
196627,Midwest,INDIANA,IN,HEPATITIS A,9,July
196628,Midwest,INDIANA,IN,HEPATITIS A,9,July
196629,Midwest,INDIANA,IN,HEPATITIS A,9,July
196630,Midwest,INDIANA,IN,HEPATITIS A,2,July
196631,Midwest,INDIANA,IN,HEPATITIS A,3,July
196632,Midwest,INDIANA,IN,HEPATITIS A,8,August
196633,Midwest,INDIANA,IN,HEPATITIS A,7,August
196634,Midwest,INDIANA,IN,HEPATITIS A,3,August
196635,Midwest,INDIANA,IN,HEPATITIS A,11,August
196636,Midwest,INDIANA,IN,HEPATITIS A,6,September
196637,Midwest,INDIANA,IN,HEPATITIS A,10,September
196638,Midwest,INDIANA,IN,HEPATITIS A,11,September
196639,Midwest,INDIANA,IN,HEPATITIS A,4,September
196640,Midwest,INDIANA,IN,HEPATITIS A,14,October
196641,Midwest,INDIANA,IN,HEPATITIS A,6,October
196642,Midwest,INDIANA,IN,HEPATITIS A,8,October
196643,Midwest,INDIANA,IN,HEPATITIS A,6,October
196644,Midwest,INDIANA,IN,HEPATITIS A,10,October
196645,Midwest,INDIANA,IN,HEPATITIS A,9,November
196646,Midwest,INDIANA,IN,HEPATITIS A,16,November
196647,Midwest,INDIANA,IN,HEPATITIS A,11,November
196648,Midwest,INDIANA,IN,HEPATITIS A,13,November
196649,Midwest,INDIANA,IN,HEPATITIS A,2,December
196650,Midwest,INDIANA,IN,HEPATITIS A,11,December
196651,Midwest,INDIANA,IN,HEPATITIS A,8,December
196652,Midwest,INDIANA,IN,HEPATITIS A,9,December
196601,Midwest,INDIANA,IN,MEASLES,49,January
196602,Midwest,INDIANA,IN,MEASLES,172,January
196603,Midwest,INDIANA,IN,MEASLES,48,January
196604,Midwest,INDIANA,IN,MEASLES,76,January
196605,Midwest,INDIANA,IN,MEASLES,58,January
196606,Midwest,INDIANA,IN,MEASLES,68,February
196607,Midwest,INDIANA,IN,MEASLES,395,February
196608,Midwest,INDIANA,IN,MEASLES,223,February
196609,Midwest,INDIANA,IN,MEASLES,523,February
196610,Midwest,INDIANA,IN,MEASLES,164,March
196611,Midwest,INDIANA,IN,MEASLES,165,March
196612,Midwest,INDIANA,IN,MEASLES,102,March
196613,Midwest,INDIANA,IN,MEASLES,224,March
196614,Midwest,INDIANA,IN,MEASLES,113,April
196615,Midwest,INDIANA,IN,MEASLES,114,April
196616,Midwest,INDIANA,IN,MEASLES,279,April
196617,Midwest,INDIANA,IN,MEASLES,395,April
196618,Midwest,INDIANA,IN,MEASLES,243,May
196619,Midwest,INDIANA,IN,MEASLES,228,May
196620,Midwest,INDIANA,IN,MEASLES,435,May
196621,Midwest,INDIANA,IN,MEASLES,337,May
196622,Midwest,INDIANA,IN,MEASLES,244,May
196623,Midwest,INDIANA,IN,MEASLES,314,June
196624,Midwest,INDIANA,IN,MEASLES,171,June
196625,Midwest,INDIANA,IN,MEASLES,97,June
196626,Midwest,INDIANA,IN,MEASLES,141,June
196627,Midwest,INDIANA,IN,MEASLES,95,July
196628,Midwest,INDIANA,IN,MEASLES,76,July
196629,Midwest,INDIANA,IN,MEASLES,36,July
196630,Midwest,INDIANA,IN,MEASLES,13,July
